Metodo 1 -> Tamanho 3, Jan: 5x5, Val(x,y): 3x3, BH: 2, TS: 2,  TPR: 32.08%, FPR: 1.05%, ACC: 87.91%
Metodo 1 -> Tamanho 3, Jan: 5x5, Val(x,y): 3x3, BH: 2, TS: 3,  TPR: 23.92%, FPR: 0.44%, ACC: 87.08%
Metodo 1 -> Tamanho 3, Jan: 5x5, Val(x,y): 3x3, BH: 2, TS: 5,  TPR: 12.56%, FPR: 0.08%, ACC: 85.51%
Metodo 1 -> Tamanho 3, Jan: 5x5, Val(x,y): 4x4, BH: 2, TS: 1,  TPR: 41.76%, FPR: 2.56%, ACC: 88.25%
Metodo 1 -> Tamanho 3, Jan: 5x5, Val(x,y): 4x4, BH: 2, TS: 2,  TPR: 30.96%, FPR: 0.99%, ACC: 87.78%
Metodo 1 -> Tamanho 3, Jan: 5x5, Val(x,y): 4x4, BH: 2, TS: 3,  TPR: 22.84%, FPR: 0.41%, ACC: 86.93%
Metodo 1 -> Tamanho 3, Jan: 5x5, Val(x,y): 4x4, BH: 2, TS: 5,  TPR: 11.68%, FPR: 0.07%, ACC: 85.37%
Metodo 1 -> Tamanho 3, Jan: 7x7, Val(x,y): 1x1, BH: 2, TS: 1,  TPR: 53.92%, FPR: 4.27%, ACC: 88.84%
Metodo 1 -> Tamanho 3, Jan: 7x7, Val(x,y): 1x1, BH: 2, TS: 2,  TPR: 43.14%, FPR: 1.75%, ACC: 89.16%
Metodo 1 -> Tamanho 3, Jan: 7x7, Val(x,y): 1x1, BH: 2, TS: 3,  TPR: 35.45%, FPR: 0.85%, ACC: 88.64%
Metodo 1 -> Tamanho 3, Jan: 7x7, Val(x,y): 1x1, BH: 2, TS: 5,  TPR: 23.19%, FPR: 0.23%, ACC: 87.14%
Metodo 1 -> Tamanho 3, Jan: 7x7, Val(x,y): 2x2, BH: 2, TS: 1,  TPR: 36.66%, FPR: 1.75%, ACC: 88.09%
Metodo 1 -> Tamanho 3, Jan: 7x7, Val(x,y): 2x2, BH: 2, TS: 2,  TPR: 25.60%, FPR: 0.60%, ACC: 87.23%
Metodo 1 -> Tamanho 3, Jan: 7x7, Val(x,y): 2x2, BH: 2, TS: 3,  TPR: 17.51%, FPR: 0.22%, ACC: 86.21%
Metodo 1 -> Tamanho 3, Jan: 7x7, Val(x,y): 2x2, BH: 2, TS: 5,  TPR: 7.69%, FPR: 0.03%, ACC: 84.74%
Metodo 1 -> Tamanho 3, Jan: 7x7, Val(x,y): 3x3, BH: 2, TS: 1,  TPR: 28.44%, FPR: 1.16%, ACC: 87.23%
Metodo 1 -> Tamanho 3, Jan: 7x7, Val(x,y): 3x3, BH: 2, TS: 2,  TPR: 17.74%, FPR: 0.34%, ACC: 86.15%
